sku,line,IMG,PRICE,DESC,FEAT,SPEC,JLD,PDF
Z-OTG-BTC,Zapco Analog Processors,1,1,1,1,1,1,0
ADSP-Z12IV-10A,Zapco DSP-IV,1,1,1,1,1,1,0
ADSP-Z16IV-12A,Zapco DSP-IV,1,1,1,1,1,1,0
DSP-Z8IVAT,Zapco DSP-IV,1,1,1,1,1,1,0
HD-BTII-D,Zapco DSP-IV,0,1,1,0,1,0,0
M-AT1,Zapco DSP-IV,1,1,1,0,1,0,0
Z-CB100F,Zapco Power/Caps,1,1,1,1,1,1,0
Z-PS110VP100A,Zapco Power/Caps,0,1,1,0,1,0,0
Z-PS220VP100A,Zapco Power/Caps,0,1,1,0,1,0,0
REF150.4,Zapco Reference,1,1,1,1,1,1,0
REF150.6,Zapco Reference,1,1,1,1,1,1,0
REF250.2,Zapco Reference,1,1,1,1,1,1,0
REF500.1,Zapco Reference,1,1,1,1,1,1,0
ST-1B,Zapco ST-B,1,1,1,1,1,1,0
ST-2B,Zapco ST-B,1,1,1,1,1,1,0
ST-4B,Zapco ST-B,1,1,1,1,1,1,0
ST-5B,Zapco ST-B,1,1,1,1,1,1,0
ST-BR,Zapco ST-B,0,1,1,0,1,0,0
ST-104DSQIII,Zapco ST-D Compact,0,1,1,1,1,1,0
ST-105D,Zapco ST-D Compact,1,1,1,1,1,1,0
ST-750D,Zapco ST-D Compact,1,1,1,1,1,1,0
ST-1000XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-1500XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-2000XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-204DSQIII,Zapco ST-X,1,1,1,0,1,0,0
ST-2XPSQIII,Zapco ST-X,0,1,1,1,1,1,0
ST-4XPSQIII,Zapco ST-X,1,1,1,1,1,1,0
ST-4XSQIII,Zapco ST-X,1,1,1,1,1,1,0
ST-500XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-6XSQIII,Zapco ST-X,1,1,1,1,1,1,0
Z-1100.1AP,Zapco Z-AP,0,1,1,1,1,1,0
Z-150.2AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-150.4AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-150.6AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-2000.1AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-300.2AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-600.2AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-150.2II,Zapco Z-II,1,1,1,1,1,1,0
Z-150.4II,Zapco Z-II,1,1,1,1,1,1,0
Z-150.6II,Zapco Z-II,1,1,1,1,1,1,0
Z-1KDII,Zapco Z-II,1,1,1,1,1,1,0
Z-2KDII,Zapco Z-II,1,1,1,1,1,1,0
Z-3KDII,Zapco Z-II,1,1,1,1,1,1,0
Z-BRII,Zapco Z-II,0,1,1,0,1,0,0
